,prediction,target,match,model,data_root,file_names
0,4,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_0.npz
1,2,2,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_1.npz
2,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_2.npz
3,2,2,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_3.npz
4,4,4,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_4.npz
5,2,2,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_5.npz
6,2,2,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_6.npz
7,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_7.npz
8,2,2,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_8.npz
9,0,5,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_9.npz
10,1,0,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_10.npz
11,0,6,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_11.npz
12,2,1,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_12.npz
13,1,0,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_13.npz
14,4,0,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_14.npz
15,6,3,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_15.npz
16,1,1,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_16.npz
17,5,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_17.npz
18,5,5,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_18.npz
19,7,1,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_19.npz
20,7,3,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_20.npz
21,7,0,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_21.npz
22,0,7,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_22.npz
23,7,3,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_23.npz
24,2,2,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_24.npz
25,7,5,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_25.npz
26,3,5,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_26.npz
27,6,6,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_27.npz
28,5,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_28.npz
29,5,7,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_29.npz
30,7,7,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_30.npz
31,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/same_followup,same_followup_test_31.npz
